vendor,cpe,vid
2pi Software,cpe:/:2pisoftware,18344
2rv,cpe:/:2rv,11011
2wire,cpe:/:2wire,4164
2wire inc,cpe:/:2wire_inc,1946
2X Software,cpe:/:2x,1200
2z project,cpe:/:2z_project,1947
30a,cpe:/:30a,10802
316solutions,cpe:/:316solutions,1948
321soft,cpe:/:321soft,9259
360 Security Response Center,cpe:/:360,19560
360 Systems,cpe:/:360systems,8866
360 web manager,cpe:/:360_web_manager,1949
360class.jansenhm project,cpe:/:360class.jansenhm_project,14627
"360fly, Inc.",cpe:/:360fly,12683
360安全中心,cpe:/:360zip,1817
3com,cpe:/:3com,1950
3CX,cpe:/:3cx,1951
3dftp,cpe:/:3dftp,1952
3dprotect,cpe:/:3dprotect,12054
3ivx,cpe:/:3ivx,1953
3M,cpe:/:3m,16222
3MF Consortium,cpe:/:3mf,19726
3proxy,cpe:/:3proxy,1954
3S Pocketnet Tech. Inc.,cpe:/:3s_pocketnet_tech,10366
3S-Smart Software Solutions,cpe:/:codesys,1030
3ware,cpe:/:3ware,1955
3xLOGIC Inc.,cpe:/:3xlogic,17488
427bb,cpe:/:427bb,9255
42Gears,cpe:/:42gears,15897
4homepages,cpe:/:4homepages,1150
4shared,cpe:/:4shared,1956
4site,cpe:/:4site,1321
4u2ges,cpe:/:4u2ges,1957
4xem,cpe:/:4xem,1958
4you-studio,cpe:/:4you-studio,1322
53kf,cpe:/:53kf,1959
53x11,cpe:/:53x11,1323
5e5,cpe:/:5e5,1960
5none.com,cpe:/:5none,13662
5sos family planet project,cpe:/:5sos_family_planet_project,11141
5th avenue software,cpe:/:5th_avenue_software,1961
60cycle,cpe:/:60cycle,1324
626 project,cpe:/:626_project,14656
63reasons,cpe:/:63reasons,4527
6677g,cpe:/:6677g,10383
68classifieds,cpe:/:68classifieds,1962
68k.org,cpe:/:68k,582
6kbbs,cpe:/:6kbbs,1325
6rbscript,cpe:/:6rbscript,1963
7 habits personal development project,cpe:/:7_habits_personal_development_project,10496
"7 Media Web Solutions, LLC.",cpe:/:7mediaws,9316
7-eleven,cpe:/:7-eleven,10670
7-shop,cpe:/:7-shop,1964
7-Technologies,cpe:/:7t,657
7-Zip,cpe:/:7-zip,1827
724cms,cpe:/:724cms,1965
74cms,cpe:/:74cms,15804
7725,cpe:/:7725,10417
7sage,cpe:/:7sage,10921
8e6 Technologies,cpe:/:8e6,1966
8pixel,cpe:/:8pixel,1967
8pussy,cpe:/:8pussy,1968
8x8,cpe:/:8x8,20031
99 Robots,cpe:/:99robots,14011
99only,cpe:/:99only,10963
9bis,cpe:/:9bis,12108
9Folders,cpe:/:9folders,18050
9GAG,cpe:/:9gag,10140
9jacompass,cpe:/:9jacompass,10555
@mail,cpe:/:%40mail,1927
@ScrapyProject,cpe:/:scrapy,13072
A Tasty Pixel,cpe:/:atastypixel,1042
A WP Life,cpe:/:awplife,17228
a-conman,cpe:/:a-conman,1969
a-enterprise,cpe:/:a-enterprise,1970
a-link,cpe:/:a-link,4166
A-PDF,cpe:/:a-pdf,18230
a-shop,cpe:/:a-shop,1971
a.kulikov,cpe:/:a.kulikov,1326
a.l-pifou,cpe:/:a.l-pifou,1972
A1,cpe:/:a1,17803
A10ネットワークス株式会社,cpe:/:a10networks,9740
a3malnet,cpe:/:a3malnet,1973
a4desk,cpe:/:a4desk,1974
A51 D.O.O.,cpe:/:activecollab,521
aai-portal,cpe:/:aai-portal,1975
Aanyfont plugin project,cpe:/:anyfont_plugin_project,9794
aaPanel,cpe:/:aapanel,18401
Aaron Craig,cpe:/:quizzler_project,11645
Aaron Heckmann,cpe:/:mquery_project,19285
aaronoutpost,cpe:/:aaronoutpost,1976
aastra telecom,cpe:/:aastra_telecom,4167
AASync.com,cpe:/:aasync,18229
Ab Initio Software LLC.,cpe:/:abinitio,20048
AB Team,cpe:/:bsplayer,1190
Abacus Research AG,cpe:/:abacus,18071
AbanteCart,cpe:/:abantecart,16141
ABB,cpe:/:abb,432
ABBS Software Audio Media Player project,cpe:/:abbs_software_audio_media_player_project,18228
ABBYY,cpe:/:abbyy,15213
abc-view,cpe:/:abc-view,1977
abcbackup,cpe:/:abcbackup,1978
Abcprintf,cpe:/:abcprintf,17664
abidia,cpe:/:abidia,1979
"Abine, Inc.",cpe:/:abine,10435
AbiSource,cpe:/:abisource,13458
AbiWord,cpe:/:abiword,1980
abi_stable project,cpe:/:abi_stable_project,19630
abk-soft,cpe:/:abk-soft,1327
abledating,cpe:/:abledating,1981
abledesign,cpe:/:abledesign,1982
ABLGenesisToken project,cpe:/:ablgenesistoken_project,14551
"Abode Systems, Inc.",cpe:/:goabode,10059
Aboobacker,cpe:/:ab_google_map_travel_project,11617
abottoms,cpe:/:abottoms,1983
Abraham Williams,cpe:/:abraham_williams,6607
abrahamtours,cpe:/:abrahamtours,10664
Abrt project,cpe:/:abrt_project,13762
absofort,cpe:/:absofort,1984
Absolunet,cpe:/:absolunet,18915
Absolut Engine,cpe:/:absolutengine,11410
Absolute Software,cpe:/:absolute,14094
absoluteanime,cpe:/:absoluteanime,1985
abtei-neuburg,cpe:/:abtei-neuburg,10538
abu ali anasheeds project,cpe:/:abu_ali_anasheeds_project,10821
ABUS,cpe:/:abus,16206
abushhab,cpe:/:abushhab,1986
abweb,cpe:/:abweb,1987
ac zoom,cpe:/:ac_zoom,1989
ac4p,cpe:/:ac4p,1988
accadvocacy,cpe:/:accadvocacy,10870
acccheck project,cpe:/:acccheck_project,14788
ACCEL-PPP プロジェクト,cpe:/:accel-ppp,18736
"Accela, Inc.",cpe:/:accela,12169
Accellion,cpe:/:accellion,4168
Accentis,cpe:/:accentis,17572
Accenture,cpe:/:accenture,18119
ACCESS,cpe:/:netfrontlife,1264
access-policy project,cpe:/:access-policy_project,18371
access2asp,cpe:/:access2asp,1990
AccessAlly,cpe:/:accessally,19845
AccessPress Themes,cpe:/:accesspressthemes,13272
Accfly,cpe:/:accfly,19578
accimoveis,cpe:/:accimoveis,1328
Accio One Page Parallax Responsive project,cpe:/:accio_one_page_parallax_responsive_theme_project,17314
Accio Responsive Parallax One Page Site Template project,cpe:/:accio_responsive_parallax_one_page_site_template,17313
Accomplish Technology,cpe:/:accomplishtechnology,6512
Accoria Networks,cpe:/:accoria,578
AccountsService,cpe:/:ray_stode,4271
accscripts,cpe:/:accscripts,1991
Accuenergy,cpe:/:accuenergy,10281
AccuPOS Point of Sale,cpe:/:accupos,15434
Accusoft,cpe:/:accusoft,1992
ACD Systems,cpe:/:acdsee,1329
ACD Systems International,cpe:/:acd_systems,1210
ace helpdesk,cpe:/:ace_helpdesk,1993
ace image hosting script,cpe:/:ace_image_hosting_script,1994
Ace Metrix,cpe:/:acemetrix,19874
Ace Viral,cpe:/:aceviral,10035
aceboard,cpe:/:aceboard,1995
acegisecurity,cpe:/:acegisecurity,1330
acexy,cpe:/:acexy,19235
Acexy Wireless-N WiFI Repeater project,cpe:/:acexy_wireless-n_wifi_repeater_project,19930
acf-to-rest-api project,cpe:/:acf_to_rest_api_project,18419
acftp,cpe:/:acftp,1996
acgv news,cpe:/:acgv_news,1998
acgv.free,cpe:/:acgv.free,1997
acgvclick,cpe:/:acgvclick,1999
achal dhir,cpe:/:achal_dhir,9399
Achievo,cpe:/:achievo,1331
achmad zaenuri,cpe:/:achmad_zaenuri,2000
Acidcat,cpe:/:acidcat,1128
ACINQ,cpe:/:acinq,17831
ACME Laboratories,cpe:/:acme_labs,469
Acobot Live Chat & Contact Form project,cpe:/:acobot_live_chat_%26_contact_form_project,11553
acoustica,cpe:/:acoustica,2001
acp3,cpe:/:acp3,2002
acpid,cpe:/:tim_hockin,525
Acquia Inc.,cpe:/:acquia,6572
ACRA,cpe:/:acra,6587
acritum,cpe:/:acritum,2003
Acrolinx GmbH,cpe:/:acrolinx,13888
Acronis International GmbH,cpe:/:acronis,2004
ActFax Communication-Software GmbH,cpe:/:actfax,18815
ACTi Corporation,cpe:/:acti,2005
Actian Corporation,cpe:/:actian,11731
actionpoll,cpe:/:actionpoll,2006
"Actions Microelectronics Co., Ltd.",cpe:/:actions-micro,18889
"Actiontec Electronics, Inc.",cpe:/:actiontec,11867
active 24 project,cpe:/:active_24_project,10580
active trade,cpe:/:active_trade,2007
active-support project,cpe:/:activesupport_project,15340
activecalendar,cpe:/:activecalendar,2009
activecampaign,cpe:/:activecampaign,2010
activeCollab,cpe:/:a51dev,8973
Activedev,cpe:/:activedev,821
ActiveHelper,cpe:/:activehelper,2011
"ActivePDF, Inc.",cpe:/:activepdf,2012
activereportsexcelreport,cpe:/:activereportsexcelreport,2013
"Activesoft CO., LTD.",cpe:/:activesoft,17235
ActiveState Software,cpe:/:activestate,535
ActiveTrak Inc.,cpe:/:gadgettrak,10034
activeWeb,cpe:/:activeweb,2014
Activewebsoftwares,cpe:/:activewebsoftwares,2015
activex soft,cpe:/:activex_soft,2016
Activision Publishing,cpe:/:activision,2017
Activity project,cpe:/:activity_project,17568
actix project,cpe:/:actix,19431
actorskey,cpe:/:actorskey,11021
actsite,cpe:/:actsite,2018
actualscripts,cpe:/:actualscripts,2019
Acunetix,cpe:/:acunetix,2020
Acurax Technologies,cpe:/:acurax,13686
acutecp,cpe:/:acutecp,2022
acutecp.rediscussed,cpe:/:acutecp.rediscussed,2021
acvsws,cpe:/:acvsws,2023
Acyba,cpe:/:acyba,13892
Ad Buttons project,cpe:/:ad_buttons_project,16753
Ad Inserter project,cpe:/:ad_inserter_project,16839
Ad-minister Project,cpe:/:ad-minister_project,9305
ada,cpe:/:ada,2024
AdaCore,cpe:/:adacore,1166
adaltas,cpe:/:adaltas,19743
Adaltech,cpe:/:adaltech,14089
Adam Cooke,cpe:/:point-cli_project,13586
adam gerson,cpe:/:adam_gerson,2025
Adam Hathcock,cpe:/:sharpcompress_project,15268
adam jarret,cpe:/:adam_jarret,2026
Adam Kennedy,cpe:/:adam_kennedy,739
Adam Ross,cpe:/:adam_ross,4213
adam scheinberg,cpe:/:adam_scheinberg,2027
adam tomecek,cpe:/:adam_tomecek,2028
adam van dongen,cpe:/:adam_van_dongen,2029
Adam Williams,cpe:/:codders-dataset_project,13594
Adam Zaninovich,cpe:/:adam_zaninovich,9096
adammo,cpe:/:adammo,2030
adamvr-geoip-lite project,cpe:/:adamvr-geoip-lite_project,14319
adaptbb,cpe:/:adaptbb,2031
AdaptCMS,cpe:/:adaptcms,1332
adaptive business design,cpe:/:adaptive_business_design,2032
Adaptive Computing,cpe:/:adaptivecomputing,1080
adaptivedisplays,cpe:/:adaptivedisplays,2033
adaptweb,cpe:/:adaptweb,2034
AdAstrA Research Group,cpe:/:adastra,1825
Adazing,cpe:/:adazing,1076
ADB,cpe:/:adbglobal,15176
ADB SA,cpe:/:adb,11493
adb-driver project,cpe:/:adb-driver_project,18138
AdBlock,cpe:/:adblock,12798
Adblock Plus,cpe:/:adblockplus,16312
adbnewssender,cpe:/:adbnewssender,2035
adcentrix,cpe:/:adcentrix,9388
ADCI LLC,cpe:/:adcillc,4218
ADCI solutions,cpe:/:adcisolutions,9136
Adcolony,cpe:/:adcolony,10066
adcomplete,cpe:/:adcomplete,2036
Adcon Telemetry,cpe:/:adcon,12031
Add From Server project,cpe:/:add_from_server_project,16802
add-edit-delete-listing-for-member-module project,cpe:/:add-edit-delete-listing-for-member-module_project,13126
addalink,cpe:/:addalink,2037
addisgag,cpe:/:addisgag,10563
AddThis,cpe:/:addthis,17170
adempiere,cpe:/:adempiere,2038
Adenion GmbH,cpe:/:blog2social,16098
AdGuard,cpe:/:adguard,19704
adhie utomo,cpe:/:adhie_utomo,2039
Adhouma CMS project,cpe:/:adhouma_cms_project,17241
adidas Japan K.K.,cpe:/:adidas,10058
Adiscon,cpe:/:rsyslog,1697
aditus,cpe:/:aditus,2040
Aditus Token project,cpe:/:aditustoken_project,15261
Adium,cpe:/:adium,556
adjam,cpe:/:adjam,843
Admidio,cpe:/:admidio,2041
Admin Columns,cpe:/:admincolumns,17438
Admin Font Editor,cpe:/:admin-font-editor_project,12226
Admin Management Xtended project,cpe:/:admin_management_xtended_project,17146
Admin Menu プロジェクト,cpe:/:admin_menu_project,18520
Admin Notes project,cpe:/:admin_notes_project,14129
admin phorum,cpe:/:admin_phorum,2042
Administration Views project,cpe:/:administration_views_project,11863
adminnewstools,cpe:/:adminnewstools,2043
adminofsystem,cpe:/:adminofsystem,1333
AdminPanel project,cpe:/:adminpanel_project,18318
AdminSystem Software,cpe:/:emailarchitect,9792
adminsystems cms project,cpe:/:adminsystems_cms_project,11549
adnforum,cpe:/:adnforum,2044
AdNovum Informatik AG,cpe:/:adnovum,11951
adodb lite,cpe:/:adodb_lite,2045
adopt o pet project,cpe:/:adopt_o_pet_project,10431
adp,cpe:/:adp,2046
adp4u,cpe:/:adp4u,10960
AdRem Software,cpe:/:adremsoft,19347
Adrenalin,cpe:/:myadrenalin,15469
adrenalin labs,cpe:/:adrenalin_labs,2047
Adrian Chadd,cpe:/:adrian_chadd,4259
AdRotate Plugin,cpe:/:adrotateplugin,884
adsdx,cpe:/:adsdx,2048
adserversolutions,cpe:/:adserversolutions,2049
ADT,cpe:/:adt,19652
adt6494,cpe:/:adt-taxis,10111
adtensor project,cpe:/:adtensor_project,19268
ADTRAN,cpe:/:adtran,9298
"Adtrustmedia, LLC.",cpe:/:misc,11555
adult directory,cpe:/:adult_directory,2050
Adult Script Pro,cpe:/:adultscriptpro,13284
adultscript,cpe:/:adultscript,2051
Adups,cpe:/:adups,12325
Advan Digital,cpe:/:advandigital,17521
Advance Crowdfunding Script project,cpe:/:advance_crowdfunding_script_project,16181
Advance Pro Technologies,cpe:/:advanceprotech,9100
Advance Projects,cpe:/:advancemame,15283
Advanced AJAX Page Loader project,cpe:/:advanced_ajax_page_loader_project,16811
advanced data solutions,cpe:/:advanced_data_solutions,2053
Advanced Forum Signatures Project,cpe:/:advanced_forum_signatures_project,9574
advanced guestbook,cpe:/:advanced_guestbook,2054
Advanced InfoData Systems,cpe:/:ais,16416
advanced links management,cpe:/:advanced_links_management,2055
"ADVANCED MANAGEMENT INFORMATION SYSTEMS , INC",cpe:/:amiscu,10053
Advanced Micro Devices (AMD),cpe:/:amd,2198
Advanced Packaging Tool,cpe:/:advanced_package_tool,9596
advanced poll,cpe:/:advanced_poll,2056
Advanced Productivity Software,cpe:/:advance_productivity_software,6618
Advanced Real Estate Script project,cpe:/:advanced_real_estate_script_project,13507
advanced search technologies inc.,cpe:/:advanced_search_technologies_inc.,2057
advanced searchbar,cpe:/:advanced_searchbar,2058
advanced software engineering,cpe:/:advanced_software_engineering,2059
Advanced Software Production Line,cpe:/:advanced_software_production_line,2060
advanced website creator,cpe:/:advanced_website_creator,2061
Advanced Woo Search,cpe:/:advanced-woo-search,18243
advanced-clan-script,cpe:/:advanced-clan-script,2052
advancedreports プロジェクト,cpe:/:advanced_reports_project,18711
AdvancedShit project,cpe:/:advancedshit_project,15107
advantage century telecommunication,cpe:/:advantage_century_telecommunication,9245
Advantig,cpe:/:advantig,13841
adventnet,cpe:/:adventnet,2062
advertisementmanager,cpe:/:advertisementmanager,2063
advsys,cpe:/:advsys,17980
aedes project,cpe:/:aedes_project,15347
AEF Group,cpe:/:anelectron,1347
aegir project,cpe:/:aegir_project,14744
Aegir project,cpe:/:aegirproject,4225
aegis,cpe:/:aegis,2064
aep networks,cpe:/:aep_networks,2065
aeries,cpe:/:aeries,2066
AeroAdmin,cpe:/:aeroadmin,12861
aeroexpress,cpe:/:aeroexpress,11120
Aerohive,cpe:/:aerohive,13091
"Aerospike, Inc.",cpe:/:aerospike,12354
aertherwide,cpe:/:aertherwide,2067
AES encryption project,cpe:/:aes_encryption_project,19507
AESCrypt project,cpe:/:aescrypt_project,12651
aewebworks,cpe:/:aewebworks,2068
Afaq Tariq,cpe:/:linux-dash_project,13561
afcommerce,cpe:/:afcommerce,2069
affiliate market,cpe:/:affiliate_market,2070
affiliatefeeds,cpe:/:affiliatefeeds,2071
affiligator,cpe:/:getaffiligator,13647
affinitycu,cpe:/:affinitycu,10683
afflib,cpe:/:afflib,2072
afgb,cpe:/:afgb,2073
Afian,cpe:/:afian,13819
aflog,cpe:/:aflog,2074
AFNetworking project,cpe:/:afnetworking_project,11978
africabegone,cpe:/:africabegone,2075
afro-beat project,cpe:/:afro-beat_project,10651
afsinc,cpe:/:afsinc,11201
Aftab,cpe:/:aftab,11786
Aftab Muni,cpe:/:misc,19781
Aftabgardan Cultural Center,cpe:/:testa,9223
afterlifewitharchie,cpe:/:afterlifewitharchie,10489
AfterLogic,cpe:/:afterlogic,2076
afuse,cpe:/:afuse,2077
ag-grid,cpe:/:ag-grid,14691
ag-klettern-odenwald,cpe:/:ag-klettern-odenwald,11019
ag-solutions,cpe:/:ag-solutions,2078
agaresmedia,cpe:/:agaresmedia,2079
agavi,cpe:/:agavi,2080
ageet,cpe:/:ageet,2081
agency4net,cpe:/:agency4net,2082
Agendaless Consulting,cpe:/:agendaless,17668
Agent Evolution,cpe:/:agentevolution,17134
Agentejo,cpe:/:agentejo,15599
Agenzia delle Entrate,cpe:/:agenziaentrate,19982
agermenu,cpe:/:agermenu,2083
AGG Software,cpe:/:misc,19106
Agile Access Control,cpe:/:agilefleet,6625
AgileBits,cpe:/:agilebits,8807
agileco,cpe:/:agileco,2084
Agilent Technologies,cpe:/:agilent_technologies,11585
Agiletestware,cpe:/:agiletestware,15315
agilewiki,cpe:/:agilewiki,2085
agner fog,cpe:/:agner_fog,2086
Agnitum,cpe:/:agnitum,2087
Agora,cpe:/:agora,19690
Agora-Project,cpe:/:agora-project,12469
Agrin Soft,cpe:/:agrinsoft,4470
agtc,cpe:/:agtc,2088
agtc websolutions,cpe:/:agtc_websolutions,2089
aguestbook,cpe:/:aguestbook,2090
Aheadworks,cpe:/:aheadworks,18012
ahhp-portal,cpe:/:ahhp-portal,2091
ahmattox,cpe:/:ahmattox,1334
ahmed abdel-hamid mohamed,cpe:/:ahmed_abdel-hamid_mohamed,2092
ahmet donmez,cpe:/:ahmet_donmez,2093
Ahsay,cpe:/:ahsay,16637
ahtty,cpe:/:ahtty,10535
aiadp,cpe:/:aiadp,11126
AIChain project,cpe:/:aichain_project,14801
aida-orga,cpe:/:aida-orga,2094
AIDA64,cpe:/:aida64,18121
Aidan Lister,cpe:/:aidanlister,6522
aidex,cpe:/:aidex,2095
aigaion,cpe:/:aigaion,1335
aigo,cpe:/:aigo,4169
AikCms,cpe:/:aikcms,16315
aimeos project,cpe:/:aimeos_project,19750
aimp,cpe:/:aimp,2096
aimstats,cpe:/:aimstats,2097
aio-libs project,cpe:/:aio-libs_project,15119
aiocp,cpe:/:aiocp,2098
aioxmpp project,cpe:/:aioxmpp_project,15855
Air Force Research Laboratory,cpe:/:airforce,18811
air war hero project,cpe:/:air_war_hero_project,10782
Air-Contact Token project,cpe:/:air-contact_token_project,14807
air-sdk project,cpe:/:air-sdk_project,14269
Airbnb,cpe:/:airbnb,14771
airbrake,cpe:/:airbrake,14670
Airbridge,cpe:/:airbridge,14987
Aircrack-ng,cpe:/:aircrack-ng,2099
airdefense,cpe:/:airdefense,2100
Airdrop project,cpe:/:airdrop_project,16137
airiny,cpe:/:airiny,2101
Airleader Compressor Management,cpe:/:airleader,19059
AirLink101,cpe:/:airlink101,12931
airmagnet,cpe:/:airmagnet,2102
AirMore,cpe:/:airmore,16138
Airsonic project,cpe:/:airsonic_project,16243
airspan,cpe:/:airspan,2103
Airtame Inc.,cpe:/:airtame,12586
AirTies,cpe:/:airties,1091
airvae,cpe:/:airvae,2104
Airvana LP,cpe:/:airvana,9525
AISHU,cpe:/:aishu,17929
Aist project,cpe:/:aist_project,13721
AITpro,cpe:/:ait-pro,4319
AivahThemes,cpe:/:aivahthemes,19846
aj forum,cpe:/:aj_forum,2105
aj square,cpe:/:aj_square,2106
aj square inc,cpe:/:aj_square_inc,2107
ajax,cpe:/:ajax,2108
Ajax Pagination project,cpe:/:ajax-pagination_project,13925
ajax post search project,cpe:/:ajax_post_search_project,11435
ajax softwares,cpe:/:ajax_softwares,9389
ajax-random-post project,cpe:/:ajax-random-post_project,12228
Ajay D'Souza,cpe:/:ajaydsouza,9726
ajhyip,cpe:/:ajhyip,2109
ajportal2php,cpe:/:ajportal2php,2110
Ajv project,cpe:/:ajv.js,18511
ak-systems,cpe:/:ak-systems,2112
Akal project,cpe:/:akal_project,17108
akarru,cpe:/:akarru,2113
akcms project,cpe:/:akcms_project,14759
Akeeba,cpe:/:akeeba,10276
Akeneo,cpe:/:akeneo,12963
Akeo Consulting,cpe:/:rufus_project,12965
Aker Security Solutions,cpe:/:aker,9523
aki-null,cpe:/:aki-null,12182
AKIPS,cpe:/:akips,17734
akirapowered,cpe:/:akirapowered,2114
Akiva,cpe:/:akiva,2115
Akka,cpe:/:akka,12942
akocomment,cpe:/:akocomment,2116
akronchildrens,cpe:/:akronchildrens,10456
Akronymmanager project,cpe:/:akronymmanager_project,10002
aksoft,cpe:/:aksoft,2117
aktueldownload,cpe:/:aktueldownload,2118
akunamachata,cpe:/:akunamachata,6612
Akuvox,cpe:/:akuvox,16628
al 3azmi,cpe:/:al_3azmi,10070
al jazeera project,cpe:/:al_jazeera_project,10748
al-ahsa news project,cpe:/:al-ahsa_news_project,10724
al-athkar,cpe:/:al-athkar,2119
al-caricatier,cpe:/:al-caricatier,2120
al4us,cpe:/:al4us,2121
alaaliwat,cpe:/:alaaliwat,10942
alain barbet,cpe:/:alain_barbet,2122
alan palazzolo,cpe:/:alan_palazzolo,2123
Alan Trewartha,cpe:/:import_legacy_media_project,17685
alan ward,cpe:/:alan_ward,2124
alan woodland,cpe:/:alan_woodland,2125
alanft,cpe:/:alanft,1227
alanzard,cpe:/:alanzard,2126
Alarm.com,cpe:/:alarm,16583
alastair mckinstry,cpe:/:alastair_mckinstry,2127
alawar,cpe:/:alawar,10877
albasit artes y danza project,cpe:/:albasit_artes_y_danza_project,11039
Albelli,cpe:/:albelli,4433
albert,cpe:/:albert,2128
Alberta,cpe:/:alberta,18288
Alberto Manuel Brandao Simoes (AMBS),cpe:/:xml-dt_project,9956
alberto pittoni,cpe:/:alberto_pittoni,1336
Alberto Trujillo Gonzalez,cpe:/:alberto_trujillo_gonzalez,4222
albinoloverats,cpe:/:albinoloverats,2129
albonico,cpe:/:albonico,13738
Alcatel-Lucent,cpe:/:alcatel-lucent,1337
Alcatel-Lucent Enterprise,cpe:/:al-enterprise,16684
AlchemyCMS,cpe:/:alchemy-cms,15549
alcovebook,cpe:/:alcovebook,2130
aleadsoft.com,cpe:/:aleadsoft.com,2131
alecwh,cpe:/:alecwh,2132
aled owen,cpe:/:aled_owen,2133
AlegroCart,cpe:/:alegrocart,1338
aleinbeen,cpe:/:aleinbeen,2134
alejandro garrido mota,cpe:/:alejandro_garrido_mota,2135
Alejandro Garza,cpe:/:alejandro_garza,8993
Aleksey,cpe:/:aleksey,651
Alentum Software Ltd.,cpe:/:weblogexpert,13835
Alephsystem,cpe:/:alephsystem,788
aleris,cpe:/:aleris,2136
"Alertus Technologies, LLC.",cpe:/:misc,12162
Alessandro Furieri,cpe:/:gaia-gis,11615
alessandro lulli,cpe:/:alessandro_lulli,2137
alex,cpe:/:alex,2138
Alex Barth,cpe:/:alex_barth,2139
Alex Burger,cpe:/:snmptt,18670
Alex Kellner,cpe:/:femanager_project,10191
Alex Kellner,cpe:/:alex_kellner,941
alex launi,cpe:/:alex_launi,1339
ALEX project,cpe:/:alex_project,14824
Alex Saveliev,cpe:/:j2k-codec,9575
Alex Vandiver,cpe:/:email%3A%3Aaddress%3A%3Alist_project,9890
Alexander Barton,cpe:/:barton,5970
alexander hass,cpe:/:alexander_hass,2141
Alexander Palmo,cpe:/:alexander_palmo,1052
Alexander V. Lukyanov,cpe:/:alexander_v._lukyanov,585
alexandre amaral,cpe:/:alexandre_amaral,2142
alexandre dubus,cpe:/:alexandre_dubus,2143
Alexei Shamov,cpe:/:alexei_shamov,6635
Alexey Bystrov,cpe:/:set_project,19019
Alexey Sukhotin,cpe:/:alexey_sukhotin,8992
alexguestbook,cpe:/:alexguestbook,2144
AlexisWilke,cpe:/:alexis_wilke,4226
alexphpteam,cpe:/:alexphpteam,2145
alexred,cpe:/:alexred,2146
alexscriptengine,cpe:/:alexscriptengine,2147
ALFA,cpe:/:alfa,19964
alfabank,cpe:/:alfabank,10943
algera,cpe:/:algera,2148
algisinfo,cpe:/:algisinfo,1341
AlgolPlus,cpe:/:algolplus,14782
Algorithm,cpe:/:binom3,12376
algorithmic research,cpe:/:algorithmic_research,9424
algorithmica project,cpe:/:algorithmica_project,19918
AlgoSec,cpe:/:algosec,9454
alhazai,cpe:/:alhazai,10523
alhem,cpe:/:alhem,2149
ali kenan,cpe:/:ali_kenan,2150
Ali Mirzaei,cpe:/:wpulike,14861
ali visual project,cpe:/:ali_visual_project,10865
aliakay,cpe:/:aliakay,10819
alibaba,cpe:/:alibaba,2151
AliBabaClone.com,cpe:/:alibabaclone,704
alibasta,cpe:/:alibasta,2152
alice,cpe:/:alice,4170
Alice Maz,cpe:/:rust-base64_project,13544
alienform2 project,cpe:/:alienform2_project,18133
aliensoftcorp,cpe:/:aliensoftcorp,2153
alientrap,cpe:/:alientrap,2154
AlienVault,cpe:/:alienvault,2155
AlienWP,cpe:/:alienwp,9092
align.bmr.kyushu-u.ac,cpe:/:align.bmr.kyushu-u.ac,2156
alikonweb,cpe:/:alikonweb,2157
alilg,cpe:/:alilg,2158
